Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2018-10-31,1.0,0.39999999999999997,989.4333333333334,27.833333333333332,3.766666666666667,1.2333333333333334
2018-11-30,15.0,115.2,987.9,27.0,3.2,1.1
2018-12-31,22.0,230.6,990.1,25.1,4.2,0.9
2019-01-31,26.0,215.0,990.4,25.1,4.4,0.9
2019-02-28,25.0,178.4,989.9,25.1,2.6,0.8
2019-03-31,31.0,261.2,990.4,25.2,2.4,0.8
2019-04-30,29.0,303.2,990.1,25.3,3.3,0.8
2019-05-31,22.0,300.6,989.6,26.0,3.5,0.8
2019-06-30,10.0,41.4,991.2,26.2,3.3,0.9
2019-07-31,18.0,104.4,991.3,25.7,3.4,0.8
2019-08-31,9.0,24.2,991.8,26.7,3.6,1.0
2019-09-30,8.0,45.2,990.0,27.3,2.9,1.1
2019-10-31,18.0,67.6,988.8,26.8,3.5,1.0
2019-11-30,13.0,87.0,987.8,26.8,2.9,0.9
2019-12-31,22.0,162.8,988.3,26.1,3.9,0.9
2020-01-31,26.0,251.6,990.0,25.4,3.0,0.9
2020-02-29,28.0,276.8,990.0,25.2,2.9,0.8
2020-03-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-04-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-05-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-06-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-07-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-08-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-09-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-10-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-11-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2020-12-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-01-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-02-28,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-03-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-04-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-05-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-06-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-07-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-08-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-09-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-10-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-11-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2021-12-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2022-01-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2022-02-28,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2022-03-31,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2022-04-30,15.553846153846154,172.1448275862069,989.7380952380951,26.339344262295082,3.471428571428571,0.9333333333333333
2022-05-31,1.0,0.39999999999999997,989.4333333333334,27.833333333333332,3.766666666666667,1.2333333333333334
2022-06-30,15.0,144.8,990.3,25.5,2.7,0.7
2022-07-31,9.0,25.4,990.5,26.2,2.6,0.7
2022-08-31,8.0,20.8,990.3,26.7,2.7,0.8
2022-09-30,6.0,66.0,989.5,27.7,2.7,1.0
2022-10-31,14.0,147.8,988.6,27.3,4.2,0.8
2022-11-30,7.0,66.8,988.6,26.2,3.1,0.7
2022-12-31,21.0,136.6,988.5,25.4,2.1,0.6
2023-01-31,27.0,248.2,989.7,24.7,2.4,0.6
2023-02-28,27.0,188.6,989.6,25.0,2.2,0.6
2023-03-31,26.0,435.8,989.9,25.2,2.4,0.8
2023-04-30,21.0,223.0,989.3,25.4,2.8,0.8
2023-05-31,18.0,151.8,990.1,26.3,3.6,0.9
2023-06-30,13.0,90.2,991.2,26.2,3.2,0.8
2023-07-31,5.0,23.4,991.4,26.6,3.3,0.9
2023-08-31,0.0,0.0,990.3,27.8,3.1,1.0
2023-09-30,3.0,21.0,989.5,28.4,3.5,1.2
2023-10-31,4.0,27.2,988.4,28.9,3.4,1.3
2023-11-30,8.0,27.0,988.2,28.5,3.3,1.2
2023-12-31,15.0,106.2,988.5,27.3,3.9,1.1
2024-01-31,25.0,255.6,990.1,26.3,4.5,0.9
2024-02-29,22.0,296.2,990.2,26.0,4.1,1.0
2024-03-31,27.0,299.0,989.7,26.2,3.0,0.8
2024-04-30,30.0,462.8,989.3,26.2,4.7,0.8
2024-05-31,24.0,256.2,989.5,26.8,5.0,0.8
2024-06-30,8.0,68.8,990.5,26.8,3.3,0.9
2024-07-31,0.0,0.0,991.7,27.2,5.7,1.0
2024-08-31,5.0,66.2,991.1,27.3,3.8,1.0
2024-09-30,1.0,1.2,989.3,28.4,3.7,1.2
2024-10-31,5.0,74.8,989.0,28.3,4.1,1.1
2024-11-30,3.0,57.6,987.8,28.2,2.9,1.0
2024-12-31,16.0,216.4,988.5,26.4,3.4,0.9
2025-01-31,28.0,450.6,989.6,25.1,3.7,0.8
2025-02-28,26.0,413.4,989.2,25.3,4.7,0.8
2025-03-31,30.0,368.6,989.9,25.5,4.0,0.8
2025-04-30,23.0,333.2,989.3,25.8,2.7,0.7
2025-05-31,19.0,129.6,990.4,26.3,2.7,0.8
2025-06-30,11.0,52.333333333333336,991.2,26.1,3.0,0.8
2025-07-31,5.0,51.86666666666667,992.0,26.3,3.0,0.8
2025-08-31,9.0,34.0,991.4,26.6,4.7,0.9
2025-09-30,1.0,7.3999999999999995,990.5,27.3,3.7,1.2
2025-10-31,2.0,26.599999999999998,989.1,28.03333333333333,4.4,1.4
2025-11-30,1.0,7.3999999999999995,988.5,27.833333333333332,3.9,1.3
2025-12-31,23.0,215.2,988.3,26.3,4.0,1.3
2026-01-31,23.0,222.2,989.3,25.6,3.9,1.3
2026-02-28,22.0,269.0,990.1,25.2,4.1,1.3
2026-03-31,27.0,225.6,988.8,25.4,3.8,1.2
2026-04-30,24.0,452.4,989.2,25.5,4.0,1.1
