Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2016-05-31,13.260504201680673,127.16989247311827,910.617094017094,17.33304347826087,5.168067226890757,1.3743589743589744
2016-06-30,8.0,95.2,914.2,10.6,4.2,1.1
2016-07-31,6.0,112.8,912.6,13.3,6.1,1.6
2016-08-31,12.0,190.0,911.8,13.6,6.2,1.4
2016-09-30,9.0,116.8,911.9,14.5,7.8,1.6
2016-10-31,23.0,169.6,909.8,16.4,4.8,1.7
2016-11-30,13.0,110.8,908.8,17.7,5.0,1.5
2016-12-31,19.0,98.6,908.1,19.8,4.8,1.6
2017-01-31,25.0,230.4,908.7,20.9,4.8,1.3
2017-02-28,13.0,74.0,908.9,21.6,4.5,1.3
2017-03-31,21.0,116.6,910.3,19.0,4.2,1.3
2017-04-30,19.0,95.2,911.3,17.0,4.4,1.3
2017-05-31,16.0,96.4,911.5,16.0,6.6,1.3
2017-06-30,15.0,142.0,913.1,13.9,6.7,1.4
2017-07-31,12.0,10.8,917.4,12.7,5.2,1.3
2017-08-31,7.0,91.2,912.5,14.5,5.4,1.5
2017-09-30,4.0,27.4,913.3,18.0,5.1,1.6
2017-10-31,19.0,288.0,909.0,17.3,5.1,1.8
2017-11-30,14.0,121.6,907.7,17.4,5.2,1.6
2017-12-31,19.0,293.0,907.4,19.7,5.6,1.4
2018-01-31,26.0,307.0,908.3,20.1,5.1,1.5
2018-02-28,15.0,108.8,908.8,19.1,4.6,1.3
2018-03-31,20.0,259.4,908.3,20.6,7.6,1.3
2018-04-30,10.0,15.8,912.4,18.4,3.8,1.1
2018-05-31,12.0,24.6,912.8,15.8,4.8,1.3
2018-06-30,18.0,104.8,912.9,14.0,5.7,1.3
2018-07-31,5.0,15.8,913.0,14.7,4.8,1.4
2018-08-31,7.0,34.8,913.1,13.4,6.8,1.5
2018-09-30,22.0,56.2,910.1,16.1,4.8,1.4
2018-10-31,23.0,331.2,909.3,16.7,5.0,1.4
2018-11-30,16.0,38.0,909.3,18.2,5.1,1.6
2018-12-31,15.0,104.8,908.8,20.9,6.2,1.5
2019-01-31,22.0,407.0,910.3,22.3,6.4,1.4
2019-02-28,21.0,211.6,908.7,22.2,5.5,1.3
2019-03-31,20.0,76.6,910.7,19.7,4.9,1.2
